PokemonID;Name;NickName;CP / MaxCP;IV Perfection in %;Attack 1;Attack 2;HP;Attk;Def;Stamina;Familie Candies;IsInGym;IsFavorite;previewLink
133;Eevee;Eevee_98;177/177;"98,00";QuickAttackFast;Dig;40;15;14;15;179;;No;http://poke.isitin.org/#MTMzLDI1LDYsMTc3LDQw
47;Parasect;Parasect_97;893/898;"97,00";BugBiteFast;XScissor;76;14;15;15;85;;No;http://poke.isitin.org/#NDcsMjUsMTgsODkzLDc2
42;Golbat;Golbat_95;84/85;"95,00";WingAttackFast;AirCutter;27;14;14;15;96;;No;http://poke.isitin.org/#NDIsMjUsMiw4NCwyNw==
49;Venomoth;Venomoth_94;26/26;"94,00";BugBiteFast;BugBuzz;14;13;15;15;87;;No;http://poke.isitin.org/#NDksMjUsMSwyNiwxNA==
129;Magikarp;Magikarp_93;80/82;"93,00";SplashFast;Struggle;24;15;9;15;919;;No;http://poke.isitin.org/#MTI5LDI1LDExLDgwLDI0
129;Magikarp;Magikarp_93;80/82;"93,00";SplashFast;Struggle;23;15;13;13;919;;No;http://poke.isitin.org/#MTI5LDI1LDExLDgwLDIz
133;Eevee;Eevee_93;606/615;"93,00";QuickAttackFast;Swift;73;15;13;13;179;;No;http://poke.isitin.org/#MTMzLDI1LDIwLDYwNiw3Mw==
133;Eevee;Eevee_92;238/242;"92,00";TackleFast;Dig;46;15;11;14;179;;No;http://poke.isitin.org/#MTMzLDI1LDgsMjM4LDQ2
97;Hypno;Hypno_92;486/492;"92,00";ConfusionFast;Psychic;69;14;12;15;151;;No;http://poke.isitin.org/#OTcsMjUsOCw0ODYsNjk=
99;Kingler;Kingler_91;666/677;"91,00";MudShotFast;XScissor;59;15;12;13;26;;No;http://poke.isitin.org/#OTksMjUsMTMsNjY2LDU5
147;Dratini;Dratini_91;550/561;"91,00";DragonBreathFast;AquaTail;57;15;10;15;18;;No;http://poke.isitin.org/#MTQ3LDI1LDIwLDU1MCw1Nw==
53;Persian;Persian_91;917/932;"91,00";ScratchFast;PowerGem;85;14;14;13;7;;No;http://poke.isitin.org/#NTMsMjUsMjAsOTE3LDg1
63;Abra;Abra_90;10/10;"90,00";ZenHeadbuttFast;SignalBeam;10;14;11;15;14;;No;http://poke.isitin.org/#NjMsMjUsMSwxMCwxMA==
100;Voltorb;Voltorb_89;466/479;"89,00";SparkFast;SignalBeam;56;14;11;14;27;;No;http://poke.isitin.org/#MTAwLDI1LDIwLDQ2Niw1Ng==
86;Seel;Seel_89;463/474;"89,00";WaterGunFast;IcyWind;72;15;12;11;22;;No;http://poke.isitin.org/#ODYsMjUsMTUsNDYzLDcy
133;Eevee;Eevee_89;630/646;"89,00";TackleFast;Swift;72;15;15;9;179;;No;http://poke.isitin.org/#MTMzLDI1LDIxLDYzMCw3Mg==
